"County: Precinct"," YES"," NO","VoteTotal"," YES_Percentage"," NO_Percentage","County: Precinct_New"," YES_New"," NO_New","VoteTotal_New"," YES_Percentage_New"," NO_Percentage_New"
"DULUTH P-1",544,499,1043,52.1572387344199,47.8427612655801,"DULUTH P-1",544,499,1043,52.1572387344199,47.8427612655801
"DULUTH P-2",0,0,0,NA,NA,"DULUTH P-2",0,0,0,0,0
"DULUTH P-3",0,0,0,NA,NA,"DULUTH P-3",0,0,0,0,0
"DULUTH P-4",0,0,0,NA,NA,"DULUTH P-4",0,0,0,0,0
"DULUTH P-5",546,476,1022,53.4246575342466,46.5753424657534,"DULUTH P-5",546,476,1022,53.4246575342466,46.5753424657534
"DULUTH P-6",831,845,1676,49.582338902148,50.417661097852,"DULUTH P-6",831,845,1676,49.582338902148,50.417661097852
"DULUTH P-7",0,0,0,NA,NA,"DULUTH P-7",0,0,0,0,0
"DULUTH P-8",0,0,0,NA,NA,"DULUTH P-8",0,0,0,0,0
"DULUTH P-9",0,0,0,NA,NA,"DULUTH P-9",0,0,0,0,0
"DULUTH P-10",193,89,282,68.4397163120567,31.5602836879433,"DULUTH P-10",193,89,282,68.4397163120567,31.5602836879433
"DULUTH P-11",0,0,0,NA,NA,"DULUTH P-11",0,0,0,0,0
"DULUTH P-12",442,226,668,66.1676646706587,33.8323353293413,"DULUTH P-12",442,226,668,66.1676646706587,33.8323353293413
"DULUTH P-13",0,0,0,NA,NA,"DULUTH P-13",0,0,0,0,0
"DULUTH P-14",309,149,458,67.4672489082969,32.5327510917031,"DULUTH P-14",309,149,458,67.4672489082969,32.5327510917031
"DULUTH P-15",0,0,0,NA,NA,"DULUTH P-15",0,0,0,0,0
"DULUTH P-16",0,0,0,NA,NA,"DULUTH P-16",0,0,0,0,0
"DULUTH P-17",0,0,0,NA,NA,"DULUTH P-17",0,0,0,0,0
"DULUTH P-18",323,228,551,58.6206896551724,41.3793103448276,"DULUTH P-18",323,228,551,58.6206896551724,41.3793103448276
"DULUTH P-19",237,136,373,63.5388739946381,36.4611260053619,"DULUTH P-19",237,136,373,63.5388739946381,36.4611260053619
"DULUTH P-21",0,0,0,NA,NA,"DULUTH P-21",0,0,0,0,0
"DULUTH P-22",0,0,0,NA,NA,"DULUTH P-22",0,0,0,0,0
"DULUTH P-23",0,0,0,NA,NA,"DULUTH P-23",0,0,0,0,0
"DULUTH P-24",0,0,0,NA,NA,"DULUTH P-24",0,0,0,0,0
"DULUTH P-25",0,0,0,NA,NA,"DULUTH P-25",0,0,0,0,0
"DULUTH P-26",0,0,0,NA,NA,"DULUTH P-26",0,0,0,0,0
"DULUTH P-27",0,0,0,NA,NA,"DULUTH P-27",0,0,0,0,0
"DULUTH P-28",169,234,403,41.9354838709677,58.0645161290323,"DULUTH P-28",169,234,403,41.9354838709677,58.0645161290323
"DULUTH P-29",0,0,0,NA,NA,"DULUTH P-29",0,0,0,0,0
"DULUTH P-30",0,0,0,NA,NA,"DULUTH P-30",0,0,0,0,0
"DULUTH P-32",0,0,0,NA,NA,"DULUTH P-32",0,0,0,0,0
"DULUTH P-33",229,316,545,42.0183486238532,57.9816513761468,"DULUTH P-33",229,316,545,42.0183486238532,57.9816513761468
"DULUTH P-34",0,0,0,NA,NA,"DULUTH P-34",0,0,0,0,0
"DULUTH P-35",0,0,0,NA,NA,"DULUTH P-35",0,0,0,0,0
"LAKEWOOD TOWN HALL",0,0,0,NA,NA,"LAKEWOOD TOWN HALL",0,0,0,0,0
"GNESEN COMMUNITY CENTER",0,0,0,NA,NA,"GNESEN COMMUNITY CENTER",0,0,0,0,0
"NORMANNA TOWN HALL",0,0,0,NA,NA,"NORMANNA TOWN HALL",0,0,0,0,0
"NORTH STAR TOWN HALL",0,0,0,NA,NA,"NORTH STAR TOWN HALL",0,0,0,0,0
"RICE LAKE CITY HALL",0,0,0,NA,NA,"RICE LAKE CITY HALL",0,0,0,0,0
